"Jennifer Garza","ITWS-1897"
"Joshua Joseph","PHYS-2478"
"Lauren Gardner","ITWS-2763"
"Kyle Nguyen","ITWS-2560"
"Kristin Meyer","PHYS-4341"
"Samuel Prince","PHYS-1669"
"Mark Potts","CHEM-3600"
"Angela Howe","ENGR-2630"
"Mark Hess","BIOL-4935"
"Robyn Bailey","ENGR-1836"
"Craig Leonard","CSCI-4740"
"Donna Strickland","ITWS-4241"
"Christina Hill","BIOL-2451"
"Dominique Valenzuela","CHEM-4724"
"John Edwards","STSO-1906"
"Mikayla Hatfield","CHEM-1428"
"Catherine Garcia","CSCI-4729"
"Stephanie Marshall","ITWS-3550"
"Julie Lawrence","CHEM-1301"
"Timothy Davis","MATH-4259"
"Stephen Carlson","CHEM-3686"
"Melissa Thomas","ECSE-4081"
"Timothy Perez","PHYS-1207"
"Jennifer Erickson","CHEM-2528"
"Kristina Jones","MATH-1397"
"Victor Bradley","STSO-1566"
"William Rowe","PSYC-2671"
"Ashley Farmer","ITWS-4118"
"Deborah Vargas","MATH-4040"
"David Parrish","ENGR-3827"
"Peter Davenport","CHEM-1998"
"Jackie Woods","ENGR-3270"
"Briana Pineda","ENGR-1561"
"Paige Stein","PSYC-1330"
"Michael Rios","ECSE-1010"
"Tyler Gray","PHYS-2761"
"Keith Lee","ITWS-3780"
"Susan Jackson","CHEM-4102"
"Stephanie Mcguire","ECSE-4225"
"Cynthia Davis","CSCI-3544"
"Lisa Mack","ECSE-3744"
"Michael Nguyen","STSO-1818"
"Jill Wells","MATH-1961"
"Kristin Thompson","CSCI-2647"
"Veronica Rogers","STSO-2556"
"Robin Sanchez","ECSE-4808"
"Daniel Martin","MATH-4288"
"Jane Bennett","CHEM-3185"
"Stephen Rivera","MATH-4014"
"Vickie Todd","MATH-1454"
"Brenda Moore","CSCI-1679"
"Debbie Scott","BIOL-3682"
"Robert Walter","ECSE-3560"
"Rebecca Hester","CHEM-1173"
"Tiffany Chase","ENGR-1789"
"Samuel Barrett","ITWS-3266"
"Steven Bishop","ITWS-4294"
"Barbara Williams","BIOL-2713"
"Jack Bell","ENGR-4487"
"Tammy Williams","CSCI-2510"
"William Mason","ENGR-3070"
"Daniel Murray","STSO-4603"
"Jennifer Newman","ENGR-4209"
"Lisa Mcneil","ITWS-2033"
"Lindsey Willis","CSCI-2857"
"Michael Madden","PHYS-3404"
"Edwin Reid","ENGR-3645"
"Aaron Brown","ITWS-4261"
"Heather Mills","MATH-4054"
"Reginald Benson","CHEM-3957"
"Mark Lin","STSO-4069"
"William Carter","STSO-3786"
"Jennifer Brown","BIOL-3082"
"Elizabeth Jennings","ITWS-3759"
"Louis Myers","BIOL-2719"
"Amanda Sanchez","STSO-2924"
"Matthew Young","ECSE-4614"
"Lindsay Nelson","PHYS-3046"
"Cory Hughes","MATH-1068"
"Russell Carter","BIOL-2130"
"Laura Lutz","PHYS-1718"
"Megan Larson","PHYS-2213"
"Laurie Castillo","PSYC-4665"
"Lisa Gonzales","CHEM-3092"
"Jacqueline Maynard","STSO-4480"
"Shelby Short","PSYC-4276"
"Sarah Romero","MATH-4824"
"Alexis Prince","ITWS-1546"
"Casey Mcgrath","STSO-3360"
"Patricia Joseph","CHEM-2432"
"Raymond Sullivan","CHEM-2554"
"Steven Jones","MATH-2843"
"Connie Davis","ENGR-1134"
"Nathan Hines","BIOL-2719"
"Stanley Morris","MATH-2162"
"Chris Richard","CSCI-4889"
"Eric Harrison","BIOL-2086"
"Melissa Mitchell","PSYC-3952"
"Scott King","ITWS-2263"
"Jose Garcia","ITWS-3780"
"Douglas Wiggins","PHYS-4920"
"Victor Gilbert","PSYC-1848"
"Carol Elliott","PSYC-1617"
"Brandon Moran","MATH-2613"
"Richard Hart","ITWS-4128"
"Patricia Rodriguez","ECSE-3698"
"Nathan Mitchell","CHEM-4251"
"Brian Rodriguez","MATH-1397"
"Sharon Miller","CHEM-2900"
"Hannah Burton","ECSE-3548"
"Jennifer Patterson","STSO-2543"
"Marc Alvarez","CHEM-1995"
"Ebony Tucker","BIOL-3467"
"Tiffany Smith","CSCI-2372"
"Gregory Vasquez","PSYC-4589"
"Donna Tate","STSO-2948"
"Donna Massey","CSCI-1743"
"Donna Watts","MATH-4644"
"David Hicks","PHYS-3069"
"Johnny Kim","BIOL-1760"
"Renee Sharp","STSO-4113"
"Michael Castaneda","STSO-2304"
"Michael Yoder","ITWS-3518"
"Jessica Flynn","ITWS-1319"
"Donald Hale","PHYS-1215"
"Kevin Mathis","STSO-3417"
"James Davis","PHYS-1718"
"Douglas Randall","CHEM-1173"
"Antonio Russell","ITWS-4561"
"Angela Russell","PSYC-3461"
"Rhonda Hayes","ENGR-1631"
"Trevor Graves","ITWS-2241"
"Jessica Valencia","MATH-1248"
"Timothy Booth","MATH-4580"
"Jeremy Curry","PSYC-1154"
"Kathleen Randolph","CHEM-2528"
"Jo Miller","ITWS-1870"
"Gregory Hernandez","ECSE-1450"
"Stephanie Curtis","PHYS-3949"
"Kevin Snyder","CSCI-4068"
"Robyn Bailey","ITWS-1997"
"Natasha Doyle","CHEM-3655"
"Rachel Peterson","MATH-2692"
"Amanda Davis","CHEM-1949"
"Robin Bowen","ITWS-1378"
"John Saunders","STSO-2624"
"Nicholas Conner","BIOL-1605"
"Jay Johnson","ECSE-4090"
"Jennifer Reese","ENGR-2375"
"Daniel Dudley","ECSE-3612"
"Anne Anderson","PSYC-3778"
"Benjamin Rogers","ECSE-2956"
"Amber Cohen","ECSE-1357"
"Veronica Castro","ENGR-4762"
"Heather Leonard","MATH-2418"
"Sara Roach","STSO-4887"
"Cynthia Gonzalez","ENGR-3845"
"Jeremy Ellis","MATH-1102"
"Melissa Henry","CSCI-4297"
"Scott Nicholson","CHEM-3848"
"Robert Morris","ITWS-1378"
"Jennifer Hernandez","CHEM-3600"
"Andrew Wallace","BIOL-2553"
"Sonia Williams","ITWS-4279"
"Daniel Dudley","ENGR-1190"
"William Clark","BIOL-4094"
"Lynn Parker","ITWS-3358"
"Gregory Peters","STSO-3270"
"Lauren Marquez","PSYC-2189"
"Timothy Morton","BIOL-3906"
"Tiffany Bennett","PSYC-2033"
"Heather Berger","BIOL-1999"
"Valerie Mcmillan","CHEM-2087"
"Dwayne Rodriguez","ENGR-4430"
"Denise Hamilton","BIOL-3244"
"Brandi Padilla","ENGR-2978"
"Allison Zavala","MATH-2026"
"Steven Cole","MATH-1381"
"Cynthia Vargas","ENGR-1134"
"Andrew Brown","ITWS-4856"
"Anita Ford","PSYC-1797"
"Lisa Terry","CSCI-3304"
"Willie Dickerson","ENGR-4385"
"Jonathan Bell","ECSE-2426"
"Jacob Hendricks","ECSE-3424"
"Mary Collins","CHEM-3152"
"Nathaniel Giles","STSO-2227"
"Daniel Dyer","CHEM-3686"
"Carlos Savage","ECSE-2557"
"Patricia Butler","ECSE-2129"
"Maria Solis","MATH-3899"
"Cynthia Nelson","CHEM-3384"
"Michael Mitchell","ECSE-4451"
"Steven Richards","CHEM-1064"
"Lawrence Crawford","BIOL-3906"
"Victor Marshall","BIOL-4539"
"Andrew Hernandez","BIOL-1994"
"Renee Garcia","ENGR-2559"
"Wayne Stone","PHYS-1163"
"Brian Flores","PSYC-2824"
"Lisa Hawkins","ENGR-1907"
"Melissa Berry","PSYC-1979"
"Dennis Wilson","ITWS-2803"
"Robyn Sanchez","CHEM-4212"
"William Hill","CHEM-1634"
"Michael Russell","CHEM-4886"
"Robert Vasquez","CHEM-3161"
"Brooke Williams","ENGR-3962"
"Lori Oconnell","CHEM-1038"
"Christopher Wagner","ENGR-3887"
"Penny Livingston","ENGR-1808"
"Miranda Cisneros","PSYC-1871"
"April Williams","MATH-2918"
"April Alvarado","ITWS-1491"
"Jill Rhodes","PHYS-3827"
"Tonya Miller","PHYS-1541"
"Melissa Davis","PSYC-2902"
"Erin Davis","STSO-2099"
"Katrina Ray","STSO-2543"
"Matthew Griffin","MATH-3230"
"Francis Bradley","PHYS-2632"
"Megan Smith","BIOL-2713"
"Alejandro Marshall","ITWS-3959"
"Jordan Abbott","PSYC-1401"
"George Porter","ITWS-4812"
"Donald Yang","BIOL-4529"
"Michelle Smith","MATH-2765"
"Sierra Leonard","PSYC-2531"
"Katherine Haynes","ITWS-1687"
"Linda Chang","BIOL-4967"
"Sean Hill","STSO-4614"
"April Wright","CHEM-3196"
"Lisa Jackson","CHEM-3528"
"Diamond Wright","PSYC-1307"
"Matthew Beard","ENGR-1323"
"Peter Harrison","ECSE-3028"
"Nathan Norman","CSCI-1847"
"Timothy Washington","ENGR-1323"
"Gerald Cain","ENGR-3111"
"John Charles","PSYC-4071"
"Diana Smith","STSO-1905"
"Alyssa Alvarez","STSO-1557"
"Lynn Avila","CSCI-2845"
"Ian Mills","PSYC-4420"
"Amanda Nelson","BIOL-2415"
"Nicholas Grimes","MATH-2026"
"James Moss","PSYC-3958"
"Nicholas Obrien","ENGR-3070"
"Erin Wilson","ECSE-4755"
"Juan Franklin","CHEM-3537"
"Nathan Mccoy","ITWS-3180"
"Scott Fox","PHYS-1494"
"Martin Bryant","CHEM-2428"
"Olivia Waters","PSYC-3813"
"Chad Lopez","ENGR-1348"
"Douglas Wong","MATH-4054"
"Julie Howe","ECSE-4485"
"Collin Harris","PSYC-2892"
"Jeffrey Simmons","PHYS-3628"
"Christopher Castillo","CSCI-4425"
"Rebecca Carlson","ECSE-3953"
"Christine King","CSCI-3039"
"Judy Johnson","PSYC-1924"
"Carl Hughes","ECSE-1021"
"Mark Aguilar","STSO-2635"
"Joshua Booth","ITWS-2803"
"John Duran","CSCI-1068"
"Sherry Smith","ENGR-2405"
"Patricia Martinez","ECSE-4998"
"Kenneth Marks","STSO-2804"
"Janet Gonzalez","CHEM-3561"
"Brooke Austin","CHEM-2620"
"Jeffrey Barton","ITWS-3270"
"Vincent Wilson","ENGR-1105"
"Alexis Krueger","ENGR-3775"
"Eric Ward","ITWS-2505"
"David Ponce","PSYC-2556"
"Sharon Wallace","ENGR-2891"
"Lisa Kirk","PSYC-3300"
"David Harris","BIOL-4218"
"William Wilson","CSCI-4578"
"Kimberly Dominguez","STSO-2706"
"Bruce Fry","PHYS-2953"
"Teresa Sanders","BIOL-2124"
"Kevin Mckay","MATH-3993"
"Courtney Valentine","PSYC-1147"
"Julie Santana","STSO-2470"
"Monica Murray","MATH-3152"
"Holly Evans","CSCI-2640"
"Earl Anderson","BIOL-2451"
"Alexandra Walker","PSYC-3652"
"Cory Jennings","MATH-4985"
"Gregory James","MATH-4871"
"Jennifer Garcia","PSYC-3141"
"Daniel Jones","ENGR-4700"
"Gregory Phillips","STSO-1628"
"Tonya Johnston","PHYS-3562"
"Brad Murray","STSO-4172"
"Heather Yates","PHYS-3954"
"Mary Herrera","CSCI-1937"
"Kenneth Matthews","ITWS-3317"
"Jasmine Kirk","MATH-2418"
"Sara Nguyen","BIOL-1178"
"Jason Wolfe","PSYC-1905"
"Timothy Wells","CSCI-2135"
"Chad Barry","CSCI-4020"
"Angel Colon","ITWS-3707"
"Lisa Franklin","BIOL-3841"
"Kiara Paul","MATH-2851"
"Brian Obrien","STSO-2838"
"Ronald Holden","STSO-2838"
"Scott Hill","MATH-4870"
"David Rodriguez","MATH-2613"
"Kelsey Clements","CSCI-2592"
"Jose Gibson","BIOL-2719"
"Ashley Reynolds","ITWS-1456"
"Brandy Clayton","ITWS-1121"
"George Lee","ITWS-3222"
"Melanie Jones","ECSE-4223"
"David Haynes","PHYS-4804"
"Jennifer Rodriguez","BIOL-3741"
"Christina Hammond","ITWS-3878"
"William Lee","ENGR-3498"
"Sandra Robinson","BIOL-3966"
"Adam Yates","MATH-4123"
"Johnny Adams","PSYC-2186"
"Alison Jimenez","BIOL-3875"
"Philip Larson","BIOL-2624"
"Ann Henry","ITWS-1064"
"Russell Melendez","CSCI-3402"
"Veronica Jefferson","PSYC-2189"
"Daniel Frost","MATH-4531"
"Michael Bryant","CSCI-2828"
"Christopher Anthony","ITWS-4204"
"Steven Matthews","BIOL-3404"
"Travis Bennett","CSCI-1185"
"Aaron Fernandez","ENGR-4774"
"Hannah Butler","PHYS-1027"
"Andrew Mcpherson","ENGR-2694"
"Ryan Crawford","PHYS-4188"
"Brianna Jackson","PSYC-4525"
"Cindy Lawson","STSO-2556"
"James White","MATH-2016"
"Louis Myers","ITWS-1693"
"Alejandro Vaughan","ECSE-4720"
"Lee Castaneda","ITWS-2141"
"Cassandra Rivera","BIOL-3166"
"Patrick Downs","ITWS-1086"
"Regina Singh","CHEM-3507"
"Joseph Hall","ENGR-3459"
"Caitlin Morris","STSO-3442"
"Jessica Flores","ECSE-4754"
"Jerry Hanson","PHYS-2888"
"Jamie Robinson","CHEM-1420"
"Lindsay Mendez","PSYC-4885"
"Cory Thompson","PSYC-4378"
"Jeffery Pratt","ENGR-4700"
"Joshua Schneider","ITWS-2455"
"Shane Alvarado","STSO-1177"
"Debra Harrington","STSO-1459"
"Donna Smith","PHYS-2292"
"Christopher Warren","ECSE-4223"
"Michael Evans","MATH-4681"
"Richard Armstrong","BIOL-1050"
"Stephen Ortega","CHEM-2180"
"Joshua Guerra","MATH-3978"
"Lynn Soto","ITWS-4828"
"John Poole","ECSE-4016"
"Tammy Jordan","ENGR-4401"
"Jamie Bowman","PHYS-2254"
"Lindsey Roberts","ECSE-3842"
"Heather Williams","STSO-3617"
"Arthur Moore","BIOL-2895"
"Nathan Miles","PSYC-3432"
"Heather Bell","BIOL-1178"
"Katie Boyd","ECSE-1977"
"Laura Davenport","ECSE-4029"
"Jesse Shepherd","BIOL-1682"
"Caroline Ruiz","PHYS-3026"
"Chase Martinez","ECSE-4982"
"Joshua Thornton","ECSE-3929"
"Laura Summers","MATH-2280"
"Ann Harvey","BIOL-2227"
"Paul Goodwin","PSYC-2110"
"Laura Henderson","MATH-2114"
"Samuel Scott","ENGR-3197"
"Mary Anderson","BIOL-3440"
"Amy Li","BIOL-2719"
"Erin Cohen","ECSE-3309"
"Patrick Middleton","BIOL-2536"
"Joseph Ortiz","PSYC-1356"
"Mary Clark","ITWS-1687"
"Mathew Freeman","CSCI-4681"
"Jeffrey Cole","PSYC-2531"
"Joy Wilson","CSCI-4436"
"Cindy Williams","ITWS-1918"
"Terri Zimmerman","ECSE-4323"
"Natalie Cox","ITWS-2803"
"Sarah Collins","BIOL-3966"
"George Carter","CSCI-4517"
"Kevin Rasmussen","BIOL-4339"
"Austin Romero","ECSE-4754"
"Lisa Preston","CHEM-2180"
"Karen Finley","CHEM-1597"
"Katrina Lee","PHYS-2741"
"Henry Bishop","ITWS-2270"
"Valerie Vasquez","PSYC-2746"
"Nathan Olson","CHEM-3127"
"Carmen Goodman","PSYC-1056"
"Joshua Bishop","BIOL-3282"
"Anthony Branch","STSO-2530"
"Jeffrey Vincent","ENGR-4057"
"Tiffany Glenn","PSYC-4525"
"Meagan Payne","PSYC-2737"
"Jose James","PHYS-4036"
"Tyler Arnold","PSYC-2912"
"Gregory Le","MATH-3144"
"Debra Moore","STSO-4299"
"Victoria Reyes","BIOL-4168"
"Barbara Snyder","PHYS-2124"
"Nicole Higgins","ECSE-2858"
"Kevin Adams","PSYC-2222"
"Felicia Richmond","ENGR-3049"
"Kaitlin Vega","MATH-4352"
"Jason Wolfe","CSCI-2178"
"Timothy Morton","BIOL-3538"
"Jared Lyons","ECSE-4405"
"Andrew Sharp","CSCI-4132"
"Laura Lopez","ITWS-4745"
"Brianna Thompson","ITWS-1269"
"Robin Williams","ENGR-2440"
"Rachel Jensen","ECSE-4016"
"Stephanie Allen","BIOL-3333"
"Maria Solis","CHEM-2298"
"Danielle Gonzales","ECSE-4282"
"Donna Bray","CHEM-2504"
"Matthew Chapman","ITWS-1295"
"Mary Cole","MATH-4845"
"Albert Palmer","MATH-1068"
"William Chapman","ECSE-2129"
"Christopher Chen","PHYS-1497"
"Breanna Price","CHEM-2904"
"Robert Garcia","ECSE-3187"
"Mason Choi","CSCI-1671"
"Anthony Swanson","PHYS-1262"
"Kaitlyn Washington","STSO-2099"
"Susan Cox","MATH-4601"
"Dan Clark","CSCI-2201"
"Anthony Swanson","PSYC-2671"
"Robert Arnold","CSCI-2422"
"Terri Garcia","MATH-4406"
"Nicole Richmond","PHYS-4965"
"Kevin Archer","CHEM-2217"
"Jeffrey Lawrence","ENGR-3740"
"Melissa Proctor","STSO-4213"
"Jason Turner","BIOL-3833"
"Lisa Vasquez","CHEM-3528"
"Maxwell Thomas","BIOL-4967"
"Justin Ryan","ENGR-4360"
"Emily Grant","MATH-4125"
"Michelle Riley","STSO-2804"
"Gregory Brock","ITWS-3406"
"Lawrence Ibarra","CHEM-4411"
"Alexandria Smith","BIOL-2124"
"Todd Vasquez","PSYC-3000"
"Christine Williams","CSCI-4125"
"Travis Brown","ECSE-1784"
"Timothy Decker","STSO-3469"
"Anthony Hunt","ENGR-2383"
"Kimberly Jordan","ECSE-1369"
"Holly Bennett","BIOL-2124"
"Melissa Davis","CHEM-1229"
"Rebecca Decker","ENGR-1186"
"Madeline Reed","ENGR-2821"
"Jose Martin","PSYC-3202"
"Andrew Owen","CSCI-3335"
"Jill Grant","STSO-3173"
"Jessica Nunez","CSCI-4986"
"Karen Decker","PSYC-4687"
"Sherry Knight","CHEM-1291"
"Angela Peters","MATH-2613"
"Rhonda Johnson","CHEM-1438"
"Benjamin Powell","BIOL-4988"
"Melissa Cox","ECSE-1438"
"Cynthia Peters","PSYC-4486"
"Adrienne Ellis","MATH-3216"
"Carrie Curtis","CHEM-1877"
"Troy Miller","MATH-2950"
"Jessica Morgan","PSYC-2629"
"Katrina Hernandez","BIOL-2989"
"Amy Oneill","ECSE-1525"
"Bonnie Richardson","ECSE-2193"
"Vincent Rodriguez","ECSE-1021"
"Roger Mason","ENGR-3505"
"Justin Mcdowell","ECSE-4244"
"Bobby Klein","MATH-2918"
"Gabriel Poole","PSYC-4120"
"Makayla Olson","PSYC-4589"
"Timothy Vaughn","PSYC-3881"
"Derek Franklin","CHEM-3528"
"Manuel Green","BIOL-2124"
"Tracy Porter","PHYS-4940"
"Gregory Phelps","CSCI-2599"
"Sylvia Wilson","BIOL-2451"
"Kimberly Flynn","ECSE-2426"
"Susan Jackson","MATH-3122"
"Jill Wyatt","CHEM-2023"
"Julia Harrison","ENGR-4261"
"Robert Bauer","STSO-3081"
"Adam Welch","ECSE-4808"
"Andrew Heath","CHEM-4903"
"Barbara Miller","ENGR-1070"
"Robert Fletcher","BIOL-2377"
"Zachary Cook","ECSE-2955"
"Antonio Phelps","STSO-1862"
"Kim Tucker","PHYS-3072"
"Daniel Valentine","ENGR-4977"
"Nathaniel Chen","BIOL-3562"
"John Bruce","BIOL-3154"
"Savannah Tran","ITWS-1064"
"Johnny Adams","ITWS-4238"
"Michael Palmer","CSCI-2621"
"Linda Hunt","ENGR-3394"
"Alexandria Morris","MATH-4618"
"Isaac Mclaughlin","ITWS-3445"
"Lindsay Barton","PSYC-2200"
"Carol Sims","ECSE-3278"
"Tina Armstrong","ECSE-1977"
"Amanda Montgomery","MATH-2016"
"Joanne Santos","PSYC-1794"
"Stephen Phelps","MATH-1092"
"Jamie Neal","BIOL-4150"
"Adam Collins","ECSE-4333"
"Melissa Wood","MATH-4618"
"Alicia Jackson","PHYS-1129"
"Matthew Cook","ITWS-4528"
"Deborah Morris","PSYC-2124"
"Annette Moore","CHEM-4186"
"Dale Thompson","ITWS-2054"
"Andrew Ball","MATH-4601"
"Steven Taylor","PSYC-3098"
"Matthew Moss","STSO-2571"
"Carolyn Melton","BIOL-1351"
"Carolyn Hale","MATH-1684"
"Kimberly Bradley","BIOL-1286"
"Brittany Lewis","PHYS-4118"
"Laura Bradley","ECSE-2958"
"Nicole Robles","CHEM-4151"
"Eduardo Moore","CHEM-1878"
"Judy Mcdonald","MATH-3796"
"Steven Moody","PHYS-3049"
"Bryan Campos","CSCI-3499"
"Mark Reyes","STSO-2872"
"Derek Snyder","CHEM-3603"
"Katherine Gonzalez","MATH-2470"
"Douglas Burton","ITWS-4526"
"Hailey Woods","ENGR-4079"
"Charles Curtis","PSYC-3628"
"Amber Garcia","MATH-4042"
"Teresa Graves","ITWS-1436"
"Beth Garcia","MATH-4274"
"Lauren Gardner","PSYC-2684"
"Amber Mata","BIOL-3424"
"Eric Sims","MATH-2865"
"Frank Thompson","PSYC-2026"
"Tina Greene","PSYC-3444"
"Jamie Tyler","BIOL-3906"
"Michelle Ramirez","PSYC-3625"
"Matthew Calderon","BIOL-3065"
"Robert Schroeder","ECSE-1489"
"Amanda Lopez","PHYS-3856"
"Vanessa Tanner","ITWS-3567"
"Eric King","PSYC-2917"
"Courtney Flowers","ECSE-2728"
"Theresa Morgan","ECSE-3044"
"Cassandra Martinez","BIOL-3188"
"Tiffany Nelson","PSYC-4954"
"Tammy Ortiz","MATH-4708"
"Victoria Durham","BIOL-3154"
"Derek Taylor","CSCI-2178"
"Thomas Keith","ENGR-4226"
"Carrie Curtis","ECSE-4333"
"Jacob Andersen","ECSE-1969"
"Kimberly Reyes","STSO-4052"
"Maria Murray","ENGR-2586"
"Denise Love","ITWS-2193"
"Bridget Gonzales","CHEM-4130"
"James Hernandez","ITWS-1121"
"Michelle Harper","CHEM-4130"
"Andrea Bradford","ENGR-1118"
"Jessica Case","ENGR-1883"
"Robin Diaz","STSO-1409"
"Steven Rivers","MATH-4160"
"Tracy Mcclure","ITWS-4267"
"Kimberly Henson","MATH-1397"
"Rebecca King","ENGR-1688"
"Angela Clark","ITWS-4537"
"Aaron Webster","MATH-4565"
"Dwayne Gonzalez","MATH-3066"
"Taylor Dougherty","PHYS-4296"
"Carol Henderson","STSO-3578"
"Wesley Rodriguez","ENGR-3973"
"Jose Schmidt","ITWS-3406"
"Brandon Lopez","CHEM-1876"
"Michele Cain","CHEM-4125"
"Troy Adams","ITWS-3735"
"Brandy Little","ITWS-2241"
"Emily Nelson","BIOL-4542"
"Lisa Davidson","CHEM-4702"
"Raymond Sullivan","BIOL-3412"
"Aaron Webb","CHEM-4151"
"Karen Anderson","PHYS-3572"
"Michael Molina","PHYS-1115"
"Phyllis Manning","ITWS-2382"
"Melanie Gibson","CSCI-1937"
"Christopher Trujillo","ENGR-1149"
"Susan Brooks","CHEM-2432"
"Matthew Taylor","PHYS-4332"
"Thomas Sandoval","BIOL-4339"
"Amanda Stokes","PSYC-1606"
"Linda Duncan","BIOL-4525"
"Robert Bennett","MATH-4618"
"Jimmy Jackson","PSYC-3681"
"Jennifer Anderson","BIOL-3424"
